run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,77,14.918172,1778804297.613168,1.266667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,78,14.934839,1778804297.629835,1.283333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,79,14.951505,1778804297.646502,1.3,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,80,14.968172,1778804297.663168,1.316667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,81,14.984839,1778804297.679835,1.333333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,82,15.001505,1778804297.696502,1.35,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,83,15.018172,1778804297.713168,1.366667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,84,15.034839,1778804297.729835,1.383333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,85,15.051505,1778804297.746502,1.4,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,86,15.068172,1778804297.763169,1.416667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,87,15.084839,1778804297.779835,1.433333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,88,15.101505,1778804297.796502,1.45,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,89,15.118172,1778804297.813169,1.466667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,90,15.134839,1778804297.829835,1.483333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
